"АЗС","Партнер","Регион","Мегарегион"
"44401",test network,Санкт-Петербург,
"44402",test network,Санкт-Петербург,
"44403",test network,Санкт-Петербург,
"4501",ЭнергоСфера,Курганская область,
"4701","Интер-Сервис (""Нева Ойл"")",Ленинградская область,Центр
"4702","Интер-Сервис (""Нева Ойл"")",Ленинградская область,Центр
"4704",ИП Хаит,Ленинградская область,Центр
"4801",РНИТЦ,Липецкая область,Центр
"5001","Каройл (""Топ-Нефть"")",Московская область,Центр
"5002",ГЕННИС ГРУПП ООО,Московская область,Центр
"5003",Октан,Московская область,Центр
"5004",Автомир-1,Московская область,Центр
"5005",НПС,Московская область,Центр
"5006",ГПН-Подмосковье,Московская область,Центр
"5007",ТЭК Групп,Московская область,Центр
"5008",Автомиг-Сервис,Московская область,Центр
"5009",СерпуховНефтеПродуктСервис,Московская область,Центр
"5010",Автомир-1,Московская область,Центр
"5011",СерпуховНефтеПродуктСервис,Московская область,Центр
"5012",ПКФ ТОКО-2,Московская область,Центр
"5013","ПКФ ""Меридиан-Экспресс""",Московская область,Центр
"5015",СерпуховНефтеПродуктСервис,Московская область,Центр
"5016",СПМК-9,Московская область,Центр
"5017",СПМК-9,Московская область,Центр
"5018",СПМК-9,Московская область,Центр
"5019",Автомир-1,Московская область,Центр
"5020",ИП Филатов,Московская область,Центр
"5021",СПМК-9,Московская область,Центр
"5022",Октан,Московская область,Центр
"5023",Автотехсервис,Московская область,Центр
"5024",РОКСО,Московская область,Центр
"5025",СПМК-9,Московская область,Центр
"5026",ПКФ ТОКО-2,Московская область,Центр
"5027",Трейд Ойл,Московская область,Центр
"5028",Нефтяная компания,Московская область,Центр
"5029",ПКФ ТОКО-2,Московская область,Центр
"5030",Трейд Ойл,Московская область,Центр
"5031",Трейд Ойл,Московская область,Центр
"5032",ГПН-Подмосковье,Московская область,Центр
"5033",Октан,Московская область,Центр
"5034",НЕФТЕГАЗКОМПЛЕКТ,Московская область,Центр
"5035",ИП Филатов,Московская область,Центр
"5036",Рузгазсервис,Московская область,Центр
"5037",Рузгазсервис,Московская область,Центр
"5038",Топливный синдикат,Московская область,Центр
"5039",СПМК-9,Московская область,Центр
"5040",Р-Ойл,Московская область,Центр
"5041","КАПДАНТИБ (""СК Стройподряд"")",Московская область,Центр
"5042","КАПДАНТИБ (""СК Стройподряд"")",Московская область,Центр
"5043","КАПДАНТИБ (""СК Стройподряд"")",Московская область,Центр
"5044",ГПН-Подмосковье,Московская область,Центр
"5045",ИП Нешумов,Московская область,Центр
"5046",СИБИНТЭК,Московская область,Центр
"5047",СИБИНТЭК,Московская область,Центр
"5048",СИБИНТЭК,Московская область,Центр
"5049",КАСКАД,Московская область,Центр
"5050",НЕФТЕГАЗКОМПЛЕКТ,Московская область,Центр
"5051",ТЭК Групп,Московская область,Центр
"5052",Отраслевая группа «Нефтехим»,Московская область,Центр
